,exp_code_str3,exp_name,HS2,description,USD,tonne
0,016,American Samoa,27," Anthracite, not agglomerated",28080265.0,55323.023
1,016,American Samoa,23," Flour or meal, pellet of meat or offal for animal fee",12192290.0,11155.832
2,016,American Samoa,72," Pig iron, non-alloy, <0.5% phosphorus",470758.0,2108.708
3,016,American Samoa,87, Pedestrian controlled tractors,12369314.0,2011.535
4,016,American Samoa,03," Ornamental fish, live",1239646.0,593.301
5,016,American Samoa,39, Polyethylene - specific gravity <0.94 in primary form,598864.0,299.179
6,016,American Samoa,52," Cotton, not carded or combed",370258.0,237.0
7,016,American Samoa,38, Artificial graphite,257001.0,201.217
8,016,American Samoa,20," Cucumbers,gherkins, prepared or preserved by vinegar",286661.0,125.253
9,016,American Samoa,48, Newsprint,95704.0,97.476
10,016,American Samoa,84, Nuclear reactors,1457192.0,89.611
11,016,American Samoa,63, Electric blankets of textile material,123843.0,82.143
12,016,American Samoa,73, Sheet piling of iron or steel,554312.0,79.058
13,016,American Samoa,69," Bricks, blocks and ceramic goods of siliceous earths",12652.0,78.491
14,016,American Samoa,12, Soya beans,29486.0,69.18900000000001
15,016,American Samoa,94," Seats, aircraft",499225.0,55.319
16,016,American Samoa,32, Quebracho tanning extract,35154.0,46.792
17,016,American Samoa,44, Fuel wood,8978.0,39.836
18,016,American Samoa,08," Coconuts, fresh or dried",49496.0,36.839
19,016,American Samoa,28, Chlorine,29540.0,30.824
20,016,American Samoa,74, Copper mattes,87374.0,26.857
21,016,American Samoa,31," Animal or vegetable fertilizers, in packs >10 kg",7539.0,24.0
22,016,American Samoa,29, Saturated acyclic hydrocarbons,92296.0,22.272000000000002
23,016,American Samoa,76," Aluminium unwrought, not alloyed",38038.0,21.896
24,016,American Samoa,07," Potatoes seed, fresh or chilled",6354.0,20.274
25,016,American Samoa,34," Soaps, for toilet use, solid",37763.0,17.284
26,016,American Samoa,70," Glass cullet, waste or scrap, glass in the mass",13741.0,16.939
27,016,American Samoa,85, Electric motors of an output < 37.5 watts,661363.0,16.571
28,016,American Samoa,05," Hair, human, unworked, waste of human hair",7806.0,14.92
29,016,American Samoa,82, Spades and shovels,209108.0,10.212
30,016,American Samoa,33, Essential oils of bergamot,381535.0,9.125
31,016,American Samoa,79," Zinc, not alloyed, unwrought, >99% pure",22838.0,8.32
32,016,American Samoa,86," Rail locomotives, externally electrically powered",51123.0,8.248000000000001
33,016,American Samoa,04, Milk not concentrated nor sweetened < 1% fat,23153.0,7.806
34,016,American Samoa,40," Natural rubber latex, including prevulcanised",38932.0,7.5249999999999995
35,016,American Samoa,19," Infant foods of cereals, flour, starch or milk, retai",10025.0,6.618
36,016,American Samoa,90," Optical fibres, except for telecommunications",916126.0,3.727
37,016,American Samoa,83, Padlocks of base metal,11163.0,2.1630000000000003
38,016,American Samoa,95," Rideable wheeled toys, dolls carriages",71941.0,1.76
39,016,American Samoa,18," Cocoa beans, whole or broken, raw or roasted",254.0,1.73
40,016,American Samoa,21," Coffee extracts, essences, concentrates, preparations",5396.0,1.496
41,016,American Samoa,57," Carpets of wool or fine animal hair, knotted",3299.0,1.0030000000000001
42,016,American Samoa,42," Saddlery and harness, of any material",29986.0,0.9960000000000001
43,016,American Samoa,15," Lard, other pig fat and poultry fat, rendered",377048.0,0.9339999999999999
44,016,American Samoa,02," Bovine carcasses and half carcasses, fresh or chilled",8559.0,0.919
45,016,American Samoa,22, Mineral and aerated waters not sweetened or flavoured,214.0,0.88
46,016,American Samoa,09," Coffee, not roasted, not decaffeinated",125.0,0.865
47,016,American Samoa,49," Brochures, leaflets and similar, in single sheets",3000.0,0.7550000000000001
48,016,American Samoa,61," Mens, boys overcoats, etc, of wool or hair, knit",21955.0,0.502
49,016,American Samoa,64," Waterproof footwear (Wellingtons etc), metal toe cap",14917.0,0.402
50,016,American Samoa,56," Sanitary towels, diapers and similar articles",8245.0,0.378
51,016,American Samoa,96," Worked ivory, articles of ivory",11472.0,0.34299999999999997
52,016,American Samoa,55," Filament tow of nylon, polyamides",7271.0,0.303
53,016,American Samoa,91," Wrist-watch, precious metal, battery, with hands",423.0,0.2
54,016,American Samoa,68," Stone setts, curbstones, flagstones (except slate)",5597.0,0.11499999999999999
55,016,American Samoa,62," Mens, boys overcoats of wool or hair, not knit",7741.0,0.113
56,016,American Samoa,65," Hat-forms, etc of felt, not shaped, no formed brim",640.0,0.10800000000000001
57,016,American Samoa,46, Plaits and products of plaiting materials,186.0,0.1
58,016,American Samoa,13, Lac,1804.0,0.08
59,016,American Samoa,25," Salt (sodium chloride) including solution, salt water",203.0,0.06
60,016,American Samoa,30," Glands and other organs, dried, for therapeutic uses",29074.0,0.053
61,016,American Samoa,66, Garden and similar umbrellas,704.0,0.019
62,016,American Samoa,88," Gliders, hang gliders",2551.0,0.017
63,016,American Samoa,59, Gum or amylaceous covered textiles for book covers et,380.0,0.014
64,016,American Samoa,58," Woven pile fabric of wool or fine animal hair, w >30c",577.0,0.005
65,016,American Samoa,37, X-ray plates and films,110.0,0.004
66,016,American Samoa,17," Raw sugar, cane",48.0,0.004
67,016,American Samoa,71," Pearls natural, not permanently mounted or set",14536.0,0.003
68,016,American Samoa,67," Bird skins and feathers, articles therefrom",124.0,0.001
69,016,American Samoa,54, Sewing thread of synthetic filaments,10.0,0.001
