,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,016,American Samoa,360,Indonesia,27," Anthracite, not agglomerated",23160181.0,47481.600000000006,"Indonesia -  Anthracite, not agglomerated"
1,016,American Samoa,360,Indonesia,87, Pedestrian controlled tractors,11941177.0,1980.0,Indonesia -  Pedestrian controlled tractors
2,016,American Samoa,036,Australia,23," Flour or meal, pellet of meat or offal for animal fee",6101326.0,5883.585,"Australia -  Flour or meal, pellet of meat or offal for animal fee"
3,016,American Samoa,490,"Other Asia, nes",23," Flour or meal, pellet of meat or offal for animal fee",4992098.0,3959.0,"Other Asia, nes -  Flour or meal, pellet of meat or offal for animal fee"
4,016,American Samoa,480,Mauritius,27," Anthracite, not agglomerated",3427679.0,5307.5,"Mauritius -  Anthracite, not agglomerated"
5,016,American Samoa,834,United Rep. of Tanzania,27," Anthracite, not agglomerated",1451552.0,2465.44,"United Rep. of Tanzania -  Anthracite, not agglomerated"
6,016,American Samoa,170,Colombia,03," Ornamental fish, live",960188.0,588.121,"Colombia -  Ornamental fish, live"
7,016,American Samoa,410,Rep. of Korea,23," Flour or meal, pellet of meat or offal for animal fee",903234.0,802.599,"Rep. of Korea -  Flour or meal, pellet of meat or offal for animal fee"
8,016,American Samoa,124,Canada,84, Nuclear reactors,498248.0,2.177,Canada -  Nuclear reactors
9,016,American Samoa,458,Malaysia,90," Optical fibres, except for telecommunications",459110.0,0.002,"Malaysia -  Optical fibres, except for telecommunications"
10,016,American Samoa,554,New Zealand,72," Pig iron, non-alloy, <0.5% phosphorus",430238.0,2062.0,"New Zealand -  Pig iron, non-alloy, <0.5% phosphorus"
11,016,American Samoa,826,United Kingdom,94," Seats, aircraft",388609.0,27.813,"United Kingdom -  Seats, aircraft"
12,016,American Samoa,036,Australia,15," Lard, other pig fat and poultry fat, rendered",374767.0,0.0,"Australia -  Lard, other pig fat and poultry fat, rendered"
13,016,American Samoa,586,Pakistan,52," Cotton, not carded or combed",370258.0,237.0,"Pakistan -  Cotton, not carded or combed"
14,016,American Samoa,218,Ecuador,84, Nuclear reactors,356908.0,10.978,Ecuador -  Nuclear reactors
15,016,American Samoa,360,Indonesia,85, Electric motors of an output < 37.5 watts,352392.0,11.761000000000001,Indonesia -  Electric motors of an output < 37.5 watts
16,016,American Samoa,702,Singapore,33, Essential oils of bergamot,324211.0,6.743,Singapore -  Essential oils of bergamot
17,016,American Samoa,250,France,87, Pedestrian controlled tractors,280488.0,13.974,France -  Pedestrian controlled tractors
18,016,American Samoa,344,"China, Hong Kong SAR",03," Ornamental fish, live",271898.0,3.284,"China, Hong Kong SAR -  Ornamental fish, live"
19,016,American Samoa,288,Ghana,73, Sheet piling of iron or steel,258072.0,22.5,Ghana -  Sheet piling of iron or steel
20,016,American Samoa,036,Australia,90," Optical fibres, except for telecommunications",250207.0,0.10400000000000001,"Australia -  Optical fibres, except for telecommunications"
21,016,American Samoa,360,Indonesia,23," Flour or meal, pellet of meat or offal for animal fee",183911.0,487.128,"Indonesia -  Flour or meal, pellet of meat or offal for animal fee"
22,016,American Samoa,036,Australia,73, Sheet piling of iron or steel,161869.0,27.449,Australia -  Sheet piling of iron or steel
23,016,American Samoa,250,France,82, Spades and shovels,155092.0,7.76,France -  Spades and shovels
24,016,American Samoa,490,"Other Asia, nes",20," Cucumbers,gherkins, prepared or preserved by vinegar",148982.0,18.45,"Other Asia, nes -  Cucumbers,gherkins, prepared or preserved by vinegar"
25,016,American Samoa,360,Indonesia,38, Artificial graphite,115557.0,22.729,Indonesia -  Artificial graphite
26,016,American Samoa,036,Australia,84, Nuclear reactors,105696.0,5.72,Australia -  Nuclear reactors
27,016,American Samoa,218,Ecuador,39, Polyethylene - specific gravity <0.94 in primary form,105483.0,45.724,Ecuador -  Polyethylene - specific gravity <0.94 in primary form
28,016,American Samoa,288,Ghana,38, Artificial graphite,100705.0,159.558,Ghana -  Artificial graphite
29,016,American Samoa,188,Costa Rica,84, Nuclear reactors,100006.0,0.453,Costa Rica -  Nuclear reactors
30,016,American Samoa,410,Rep. of Korea,39, Polyethylene - specific gravity <0.94 in primary form,99593.0,46.152,Rep. of Korea -  Polyethylene - specific gravity <0.94 in primary form
31,016,American Samoa,360,Indonesia,84, Nuclear reactors,92413.0,7.573,Indonesia -  Nuclear reactors
32,016,American Samoa,724,Spain,29, Saturated acyclic hydrocarbons,91708.0,22.0,Spain -  Saturated acyclic hydrocarbons
33,016,American Samoa,604,Peru,39, Polyethylene - specific gravity <0.94 in primary form,89837.0,66.0,Peru -  Polyethylene - specific gravity <0.94 in primary form
34,016,American Samoa,344,"China, Hong Kong SAR",20," Cucumbers,gherkins, prepared or preserved by vinegar",83515.0,33.274,"China, Hong Kong SAR -  Cucumbers,gherkins, prepared or preserved by vinegar"
35,016,American Samoa,036,Australia,85, Electric motors of an output < 37.5 watts,77110.0,0.441,Australia -  Electric motors of an output < 37.5 watts
36,016,American Samoa,490,"Other Asia, nes",74, Copper mattes,71541.0,14.657,"Other Asia, nes -  Copper mattes"
37,016,American Samoa,702,Singapore,90," Optical fibres, except for telecommunications",68703.0,0.203,"Singapore -  Optical fibres, except for telecommunications"
38,016,American Samoa,250,France,39, Polyethylene - specific gravity <0.94 in primary form,66184.0,29.988,France -  Polyethylene - specific gravity <0.94 in primary form
39,016,American Samoa,752,Sweden,94," Seats, aircraft",63347.0,12.419,"Sweden -  Seats, aircraft"
40,016,American Samoa,616,Poland,48, Newsprint,58960.0,71.733,Poland -  Newsprint
41,016,American Samoa,508,Mozambique,63, Electric blankets of textile material,54915.0,0.402,Mozambique -  Electric blankets of textile material
42,016,American Samoa,360,Indonesia,39, Polyethylene - specific gravity <0.94 in primary form,54783.0,0.454,Indonesia -  Polyethylene - specific gravity <0.94 in primary form
43,016,American Samoa,116,Cambodia,73, Sheet piling of iron or steel,49794.0,4.812,Cambodia -  Sheet piling of iron or steel
44,016,American Samoa,246,Finland,39, Polyethylene - specific gravity <0.94 in primary form,48163.0,4.5,Finland -  Polyethylene - specific gravity <0.94 in primary form
45,016,American Samoa,124,Canada,95," Rideable wheeled toys, dolls carriages",47477.0,0.543,"Canada -  Rideable wheeled toys, dolls carriages"
46,016,American Samoa,070,Bosnia Herzegovina,90," Optical fibres, except for telecommunications",47414.0,0.804,"Bosnia Herzegovina -  Optical fibres, except for telecommunications"
47,016,American Samoa,554,New Zealand,84, Nuclear reactors,47143.0,1.522,New Zealand -  Nuclear reactors
48,016,American Samoa,490,"Other Asia, nes",85, Electric motors of an output < 37.5 watts,46645.0,0.131,"Other Asia, nes -  Electric motors of an output < 37.5 watts"
49,016,American Samoa,250,France,84, Nuclear reactors,45956.0,1.827,France -  Nuclear reactors
50,016,American Samoa,036,Australia,86," Rail locomotives, externally electrically powered",45317.0,4.048,"Australia -  Rail locomotives, externally electrically powered"
51,016,American Samoa,784,United Arab Emirates,73, Sheet piling of iron or steel,44247.0,13.322,United Arab Emirates -  Sheet piling of iron or steel
52,016,American Samoa,250,France,08," Coconuts, fresh or dried",43105.0,22.255,"France -  Coconuts, fresh or dried"
53,016,American Samoa,894,Zambia,85, Electric motors of an output < 37.5 watts,38796.0,0.362,Zambia -  Electric motors of an output < 37.5 watts
54,016,American Samoa,616,Poland,87, Pedestrian controlled tractors,36537.0,5.58,Poland -  Pedestrian controlled tractors
55,016,American Samoa,562,Niger,39, Polyethylene - specific gravity <0.94 in primary form,36436.0,50.537,Niger -  Polyethylene - specific gravity <0.94 in primary form
56,016,American Samoa,276,Germany,87, Pedestrian controlled tractors,34866.0,0.17,Germany -  Pedestrian controlled tractors
57,016,American Samoa,458,Malaysia,84, Nuclear reactors,33439.0,1.324,Malaysia -  Nuclear reactors
