int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,413,333,2010,2010,2011,2011,299346119216,572773096893,5530,5688,6473,6487,19474,1507524
Miscellaneous - fishing,109,67,1994,1997,1993,1994,813063038,532547521,1649,4764,5045,5185,468,35228
Vehicle,36,33,2010,2009,2011,2011,3621216059,1152170468,1193,1558,1656,1649,201,15573
Liquefied gas tanker,84,41,2011,2011,2011,2011,46282303427,40215840761,6947,5518,6817,6673,6075,373203
Container,355,103,2004,2005,2005,2005,19595900953,23441711820,1213,1485,1609,1583,2570,198640
General cargo,284,111,2006,2007,2007,2007,2440803871,3201120846,329,1509,1196,1147,546,41867
Offshore,326,89,2011,2011,2005,2004,1697527889,2613325322,197,1559,1650,2333,499,37661
Service - other,24,20,2003,2004,2006,2007,447950038,273612555,1411,2916,3600,3329,152,11585
Chemical tanker,87,63,2009,2009,2011,2011,3379281888,5573729282,1210,2325,2655,2704,597,45901
Service - tug,402,78,2003,2008,2009,2009,273946510,227456297,78,1051,600,546,220,16608
Refrigerated bulk,79,42,1990,1991,1991,1991,754583402,874356978,1407,1804,1783,1776,595,44971
Bulk carrier,86,80,2006,2007,2009,2009,4571034945,7837821674,1218,2056,2133,2150,457,35332
Ro-Ro,70,16,2005,2001,2004,2005,1191156691,617588337,335,652,911,906,198,15233
Ferry-pax only,3,1,1988,1988,1988,1988,482918,50940,191,191,395,395,1,43
Cruise,2,2,1997,1997,1999,1999,170855699,19440211,1805,1805,2142,2187,49,3806
