dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,288,49,2006,2011,2010,2010,1719117630,3148322387,210,207,168,166,964,73656
General cargo,99,39,2005,2007,2005,2005,230286303,300289389,238,273,274,271,74,5611
Offshore,1365,74,2012,2011,2013,2013,1360455258,1287148095,222,1158,411,389,1745,131095
Miscellaneous - fishing,412,46,1999,1999,1993,1993,611646365,332218761,614,1466,1693,1809,453,34108
Refrigerated bulk,19,15,1989,1990,1991,1991,39445825,46642917,474,437,418,431,80,5990
Service - other,105,11,1992,2001,2000,1999,145514864,115736182,453,1112,1175,1247,126,9497
Service - tug,838,58,2008,2009,2010,2010,698086822,590721115,204,535,396,371,401,30109
Container,126,26,2002,2003,2001,2001,554427554,729403974,253,277,300,302,203,15431
Bulk carrier,7,7,2007,2007,2008,2008,39108572,65278946,254,239,244,245,8,630
Chemical tanker,344,14,2009,2008,2009,2009,866829417,1342965304,249,240,300,301,720,54589
Liquefied gas tanker,99,7,2003,2010,2008,2008,396840410,443331925,283,197,246,245,439,33515
Ferry-pax only,1,1,1988,1988,1988,1988,39136,4128,96,96,96,96,0,4
Ro-Ro,82,5,2002,2004,2001,2002,25189760,33961019,214,269,461,509,208,15643
Cruise,2,1,1994,1994,1994,1994,7919311,727977,233,233,233,233,3,241
