dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,74,50,2009,2008,2009,2009,940422349,1696444631,231,330,307,309,137,10588
Container,276,70,2003,2003,2003,2003,1494547887,1835448178,292,390,415,411,477,36328
Bulk carrier,152,112,2008,2007,2008,2008,1825534949,3015928556,378,494,488,484,226,17417
Ferry-RoPax,15,5,1992,1995,1996,1997,123205164,21522011,356,548,528,501,44,3398
Chemical tanker,545,67,2007,2009,2006,2006,3425062293,5224369288,350,346,460,459,1032,79146
General cargo,591,207,2004,2001,2007,2007,1481188501,1987596293,255,376,360,369,450,34380
Ferry-pax only,2,2,1997,1997,1992,1992,3220652,972123,8692,8692,6613,6354,9,653
Service - tug,42,17,1998,2003,2010,2010,112604488,64442097,282,1786,4274,3991,68,5072
Ro-Ro,130,10,1990,1992,1991,1992,298515142,219837260,244,314,328,343,103,7874
Liquefied gas tanker,272,44,1998,2005,2001,2000,2036025448,2101798529,235,298,292,296,565,42408
Miscellaneous - fishing,12,4,2010,2001,2014,2014,963933,775388,280,193,442,438,5,380
Service - other,20,10,2005,2006,2009,2009,53262879,34702304,381,2100,1265,1295,21,1605
Offshore,3,2,1991,1996,2004,2007,641035,694535,383,600,655,734,5,364
Vehicle,2,1,2001,2001,2001,2001,5190360,1567921,270,270,270,270,1,91
