int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,1286,129,2003,2003,2004,2004,10806454637,13570188210,526,763,725,715,3363,256342
Bulk carrier,787,583,2008,2008,2009,2009,37413436070,62947631828,1331,1908,1895,1909,3980,307328
Oil tanker,519,340,2009,2008,2009,2009,31118203358,56974110137,789,1224,1201,1205,2880,222632
Service - tug,30,29,2000,2001,2011,2011,114468750,65812337,815,2179,5686,5358,83,6225
General cargo,1693,653,2001,2001,2006,2006,12261706776,16793941778,757,1206,1202,1222,2866,219213
Liquefied gas tanker,666,86,2006,2007,2006,2005,31574268226,30130830901,786,1260,1192,1215,4319,306048
Chemical tanker,516,322,2007,2008,2009,2009,12756706358,20526250706,873,1350,1364,1375,2361,181816
Refrigerated bulk,51,36,1993,1994,1993,1993,872949961,982597076,1840,2313,2466,2456,484,36775
Service - other,16,15,2004,2004,2001,2000,62593639,55567138,750,1060,1204,1352,40,2914
Ro-Ro,213,18,1989,1994,1992,1993,984851172,694026779,503,1033,629,642,331,25408
Miscellaneous - fishing,19,12,1999,1996,1993,1997,10371194,6427759,584,1345,1032,1030,16,1230
Offshore,11,9,2000,2001,2000,1998,108587152,100272744,506,1880,950,707,54,4053
Vehicle,41,26,2006,2009,2010,2009,1581935051,516476666,811,922,901,908,110,8519
Ferry-RoPax,574,15,1990,1994,1996,1996,5332635009,913703422,229,303,432,433,2061,158797
Cruise,4,3,2016,2016,2016,2016,64453800,6549987,337,337,337,337,12,934
Ferry-pax only,2,2,1997,1997,1992,1992,1660803,499513,4576,4576,3410,3265,5,354
