,imp_code_str3,imp_name,HS2,description,USD,tonne
0,028,Antigua and Barbuda,27," Anthracite, not agglomerated",336102767.0,414146.852
1,028,Antigua and Barbuda,89," Cruise ships, excursion boats, ferry boats",173236544.0,70383.912
2,028,Antigua and Barbuda,44, Fuel wood,10179725.0,12407.992
3,028,Antigua and Barbuda,72," Pig iron, non-alloy, <0.5% phosphorus",8410378.0,8601.555
4,028,Antigua and Barbuda,02," Bovine carcasses and half carcasses, fresh or chilled",15535545.0,8382.206
5,028,Antigua and Barbuda,22, Mineral and aerated waters not sweetened or flavoured,14506394.0,7309.339
6,028,Antigua and Barbuda,87, Pedestrian controlled tractors,44182293.0,5050.418
7,028,Antigua and Barbuda,69," Bricks, blocks and ceramic goods of siliceous earths",2890912.0,4081.6369999999997
8,028,Antigua and Barbuda,23," Flour or meal, pellet of meat or offal for animal fee",2442164.0,3809.6440000000002
9,028,Antigua and Barbuda,20," Cucumbers,gherkins, prepared or preserved by vinegar",4144587.0,3532.142
10,028,Antigua and Barbuda,25," Salt (sodium chloride) including solution, salt water",419141.0,3155.694
11,028,Antigua and Barbuda,04, Milk not concentrated nor sweetened < 1% fat,7313675.0,3057.384
12,028,Antigua and Barbuda,73, Sheet piling of iron or steel,12588552.0,2921.705
13,028,Antigua and Barbuda,84, Nuclear reactors,51725720.0,2839.829
14,028,Antigua and Barbuda,39, Polyethylene - specific gravity <0.94 in primary form,9545451.0,2723.108
15,028,Antigua and Barbuda,94," Seats, aircraft",17864716.0,2504.793
16,028,Antigua and Barbuda,17," Raw sugar, cane",1149879.0,2364.406
17,028,Antigua and Barbuda,68," Stone setts, curbstones, flagstones (except slate)",3566721.0,2244.071
18,028,Antigua and Barbuda,21," Coffee extracts, essences, concentrates, preparations",5710578.0,2021.7939999999999
19,028,Antigua and Barbuda,19," Infant foods of cereals, flour, starch or milk, retai",4883378.0,1872.202
20,028,Antigua and Barbuda,38, Artificial graphite,2626214.0,1870.307
21,028,Antigua and Barbuda,07," Potatoes seed, fresh or chilled",2448391.0,1779.3310000000001
22,028,Antigua and Barbuda,48, Newsprint,4612862.0,1712.486
23,028,Antigua and Barbuda,34," Soaps, for toilet use, solid",2495846.0,1578.93
24,028,Antigua and Barbuda,85, Electric motors of an output < 37.5 watts,24507023.0,1462.198
25,028,Antigua and Barbuda,15," Lard, other pig fat and poultry fat, rendered",1576659.0,1357.7040000000002
26,028,Antigua and Barbuda,40," Natural rubber latex, including prevulcanised",3213499.0,1305.782
27,028,Antigua and Barbuda,16," Sausages, similar products of meat, meat offal & bloo",3658395.0,940.1
28,028,Antigua and Barbuda,70," Glass cullet, waste or scrap, glass in the mass",2320037.0,890.457
29,028,Antigua and Barbuda,76," Aluminium unwrought, not alloyed",4361024.0,708.478
30,028,Antigua and Barbuda,83, Padlocks of base metal,3897575.0,699.719
31,028,Antigua and Barbuda,32, Quebracho tanning extract,2669122.0,681.015
32,028,Antigua and Barbuda,11, Wheat or meslin flour,511748.0,652.5699999999999
33,028,Antigua and Barbuda,03," Ornamental fish, live",3390524.0,621.576
34,028,Antigua and Barbuda,08," Coconuts, fresh or dried",1138373.0,523.77
35,028,Antigua and Barbuda,10, Durum wheat,415384.0,519.191
36,028,Antigua and Barbuda,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",1228488.0,438.38300000000004
37,028,Antigua and Barbuda,63, Electric blankets of textile material,8587666.0,313.882
38,028,Antigua and Barbuda,33, Essential oils of bergamot,4160587.0,305.289
39,028,Antigua and Barbuda,96," Worked ivory, articles of ivory",1306268.0,283.143
40,028,Antigua and Barbuda,28, Chlorine,357100.0,221.743
41,028,Antigua and Barbuda,31," Animal or vegetable fertilizers, in packs >10 kg",174532.0,199.8
42,028,Antigua and Barbuda,95," Rideable wheeled toys, dolls carriages",2724022.0,170.388
43,028,Antigua and Barbuda,49," Brochures, leaflets and similar, in single sheets",1676006.0,137.422
44,028,Antigua and Barbuda,82, Spades and shovels,1800248.0,121.63799999999999
45,028,Antigua and Barbuda,09," Coffee, not roasted, not decaffeinated",10580781.0,113.57000000000001
46,028,Antigua and Barbuda,74, Copper mattes,884425.0,109.279
47,028,Antigua and Barbuda,29, Saturated acyclic hydrocarbons,399067.0,103.185
48,028,Antigua and Barbuda,18," Cocoa beans, whole or broken, raw or roasted",552227.0,102.909
49,028,Antigua and Barbuda,30," Glands and other organs, dried, for therapeutic uses",4531548.0,97.533
50,028,Antigua and Barbuda,64," Waterproof footwear (Wellingtons etc), metal toe cap",2018428.0,97.35900000000001
51,028,Antigua and Barbuda,42," Saddlery and harness, of any material",1714705.0,94.959
52,028,Antigua and Barbuda,61," Mens, boys overcoats, etc, of wool or hair, knit",1626566.0,81.432
53,028,Antigua and Barbuda,86," Rail locomotives, externally electrically powered",171111.0,64.84100000000001
54,028,Antigua and Barbuda,56," Sanitary towels, diapers and similar articles",370132.0,50.681
55,028,Antigua and Barbuda,35, Casein,222369.0,49.794000000000004
56,028,Antigua and Barbuda,57," Carpets of wool or fine animal hair, knotted",301644.0,42.561
57,028,Antigua and Barbuda,62," Mens, boys overcoats of wool or hair, not knit",1382873.0,38.859
58,028,Antigua and Barbuda,90," Optical fibres, except for telecommunications",5113710.0,38.308
59,028,Antigua and Barbuda,24," Tobacco, unmanufactured, not stemmed or stripped",652401.0,33.325
60,028,Antigua and Barbuda,80, Tin not alloyed unwrought,827697.0,29.519000000000002
61,028,Antigua and Barbuda,66, Garden and similar umbrellas,226095.0,24.119
62,028,Antigua and Barbuda,36, Propellent powders,597433.0,22.243
63,028,Antigua and Barbuda,59, Gum or amylaceous covered textiles for book covers et,109671.0,21.439999999999998
64,028,Antigua and Barbuda,12, Soya beans,86264.0,18.672
65,028,Antigua and Barbuda,78, Lead refined unwrought,78224.0,17.009
66,028,Antigua and Barbuda,67," Bird skins and feathers, articles therefrom",154795.0,12.233
67,028,Antigua and Barbuda,54, Sewing thread of synthetic filaments,81461.0,11.433
68,028,Antigua and Barbuda,55," Filament tow of nylon, polyamides",85974.0,11.157
69,028,Antigua and Barbuda,52," Cotton, not carded or combed",140563.0,8.93
70,028,Antigua and Barbuda,79," Zinc, not alloyed, unwrought, >99% pure",46535.0,8.334
71,028,Antigua and Barbuda,14, Bamboos used primarily for plaiting,7412.0,8.254
72,028,Antigua and Barbuda,65," Hat-forms, etc of felt, not shaped, no formed brim",157652.0,7.768
73,028,Antigua and Barbuda,01," Horses, live pure-bred breeding",303043.0,7.169
74,028,Antigua and Barbuda,81," Powders, tungsten (wolfram)",212192.0,5.349
75,028,Antigua and Barbuda,05," Hair, human, unworked, waste of human hair",13686.0,4.888
76,028,Antigua and Barbuda,71," Pearls natural, not permanently mounted or set",9434471.0,4.847
77,028,Antigua and Barbuda,88," Gliders, hang gliders",1457313.0,3.361
78,028,Antigua and Barbuda,91," Wrist-watch, precious metal, battery, with hands",2508420.0,3.141
79,028,Antigua and Barbuda,13, Lac,16018.0,2.799
80,028,Antigua and Barbuda,60," ""Long pile"" knit or crochet textile fabric",23477.0,2.254
81,028,Antigua and Barbuda,58," Woven pile fabric of wool or fine animal hair, w >30c",37865.0,2.073
82,028,Antigua and Barbuda,37, X-ray plates and films,10045.0,1.905
83,028,Antigua and Barbuda,93," Military weapons, other than hand guns, swords, etc",276954.0,1.898
84,028,Antigua and Barbuda,75, Nickel mattes,39228.0,1.2369999999999999
85,028,Antigua and Barbuda,51," Greasy shorn wool, not carded or combed",33337.0,1.083
86,028,Antigua and Barbuda,92," Upright pianos, including auto-players",73122.0,1.072
87,028,Antigua and Barbuda,45," Natural cork, raw or simply prepared",9102.0,0.6970000000000001
88,028,Antigua and Barbuda,46, Plaits and products of plaiting materials,5373.0,0.64
89,028,Antigua and Barbuda,43," Raw mink furskins, whole",137206.0,0.336
90,028,Antigua and Barbuda,53," Flax fibre, raw or retted",2256.0,0.228
91,028,Antigua and Barbuda,26," Iron ore, concentrate, not iron pyrites,unagglomerate",6144.0,0.174
92,028,Antigua and Barbuda,50, Silk-worm cocoons suitable for reeling,1004.0,0.113
93,028,Antigua and Barbuda,41," Bovine skins, whole, raw",2981.0,0.112
94,028,Antigua and Barbuda,47, Mechanical wood pulp,2.0,0.003
