,exp_code_str3,exp_name,HS2,description,USD,tonne
0,028,Antigua and Barbuda,89," Cruise ships, excursion boats, ferry boats",129184477.0,69626.151
1,028,Antigua and Barbuda,27," Anthracite, not agglomerated",32248843.0,46563.358
2,028,Antigua and Barbuda,10, Durum wheat,7338163.0,35056.0
3,028,Antigua and Barbuda,23," Flour or meal, pellet of meat or offal for animal fee",975345.0,4134.629
4,028,Antigua and Barbuda,94," Seats, aircraft",5073761.0,2585.0060000000003
5,028,Antigua and Barbuda,72," Pig iron, non-alloy, <0.5% phosphorus",515316.0,1286.742
6,028,Antigua and Barbuda,76," Aluminium unwrought, not alloyed",420545.0,265.353
7,028,Antigua and Barbuda,39, Polyethylene - specific gravity <0.94 in primary form,563002.0,237.052
8,028,Antigua and Barbuda,74, Copper mattes,656752.0,227.60799999999998
9,028,Antigua and Barbuda,03," Ornamental fish, live",651317.0,152.89499999999998
10,028,Antigua and Barbuda,85, Electric motors of an output < 37.5 watts,2402414.0,142.434
11,028,Antigua and Barbuda,47, Mechanical wood pulp,16266.0,142.0
12,028,Antigua and Barbuda,84, Nuclear reactors,690597.0,137.732
13,028,Antigua and Barbuda,18," Cocoa beans, whole or broken, raw or roasted",2854713.0,136.822
14,028,Antigua and Barbuda,28, Chlorine,69918.0,96.0
15,028,Antigua and Barbuda,70," Glass cullet, waste or scrap, glass in the mass",155957.0,82.361
16,028,Antigua and Barbuda,21," Coffee extracts, essences, concentrates, preparations",78254.0,73.971
17,028,Antigua and Barbuda,05," Hair, human, unworked, waste of human hair",119170.0,73.34
18,028,Antigua and Barbuda,08," Coconuts, fresh or dried",73008.0,68.192
19,028,Antigua and Barbuda,38, Artificial graphite,94258.0,60.832
20,028,Antigua and Barbuda,73, Sheet piling of iron or steel,60960.0,53.11
21,028,Antigua and Barbuda,07," Potatoes seed, fresh or chilled",64450.0,47.505
22,028,Antigua and Barbuda,40," Natural rubber latex, including prevulcanised",238217.0,43.936
23,028,Antigua and Barbuda,22, Mineral and aerated waters not sweetened or flavoured,361807.0,42.798
24,028,Antigua and Barbuda,78, Lead refined unwrought,33599.0,36.0
