int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,3,2,2007,2006,2007,2007,563457331,872161413,5348,6018,6347,6347,73,5659
Chemical tanker,14,10,2012,2012,2013,2013,1575151594,2612804553,4625,3639,3750,3750,190,14713
Cruise,23,19,2002,2002,2003,2003,1592920952,166921401,807,1107,1268,1289,406,31386
Container,90,11,2007,2008,2011,2011,2129954408,2733697866,1407,1465,1831,1847,455,34983
Miscellaneous - fishing,24,13,1994,1990,1993,1993,399462163,311035488,8550,9996,9014,8072,153,11501
Service - other,6,6,1996,1996,1995,1995,68343136,41402634,1941,2432,1593,1424,24,1812
Ro-Ro,37,2,2017,2016,2014,2014,18318600,14709336,319,1331,1001,920,57,4264
General cargo,122,13,2008,2005,2005,2005,828554358,895062007,523,902,1176,1160,138,10569
Refrigerated bulk,1,1,1994,1994,1994,1994,14534801,19872109,2657,2657,2657,2657,22,1637
Ferry-RoPax,3,2,2004,2007,2009,2014,1231032,634266,376,745,474,821,8,574
Bulk carrier,1,1,2015,2015,2015,2015,46646209,73936279,1896,1896,1896,1896,4,312
Service - tug,7,1,2001,2001,2001,2001,607498,405048,344,344,342,342,2,119
Liquefied gas tanker,11,2,2011,2008,2010,2010,32560666,32538284,523,1411,602,606,17,1257
