dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,3,2,2007,2006,2007,2007,7871455,12184782,83,87,89,89,2,157
Container,71,11,2006,2008,2008,2007,84547034,107072569,90,92,93,93,28,2132
Chemical tanker,5,5,2010,2010,2011,2011,16593130,27567602,90,111,111,111,3,227
Cruise,6,5,2002,2003,2003,2003,46031213,4448811,136,143,145,150,12,926
General cargo,56,10,2005,2004,2005,2005,53256727,59925240,90,100,94,94,11,828
Ferry-RoPax,99,2,2002,2007,2008,2013,14062335,6480553,84,126,156,289,66,4937
Liquefied gas tanker,4,1,2012,2012,2012,2012,2472318,2444826,118,118,123,123,1,86
