int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,14,10,2012,2012,2013,2013,460984357,766034418,694,748,1098,1099,63,4866
Cruise,23,19,2002,2002,2004,2004,1896437243,193366877,1111,1186,1509,1493,465,35956
Oil tanker,3,2,2007,2006,2006,2006,84170966,130326019,703,1072,948,948,13,1046
Service - other,6,6,1996,1996,1994,1995,103209711,63706668,2472,2457,2406,2191,33,2499
Miscellaneous - fishing,24,13,1994,1990,1996,1997,493580155,484051853,8502,8542,11137,12562,194,14549
Container,90,11,2007,2008,2010,2009,1124979384,1440006646,699,925,967,973,239,18353
Ferry-RoPax,3,2,2004,2007,2005,2011,580111,227458,344,279,223,294,6,435
Ro-Ro,37,2,2017,2016,2016,2016,13000283,11000598,319,748,710,688,72,5393
Refrigerated bulk,1,1,1994,1994,1994,1994,29632502,40513821,5416,5416,5416,5416,16,1215
General cargo,122,13,2008,2005,2005,2005,497432373,554314859,529,748,706,719,119,9129
Bulk carrier,1,1,2015,2015,2015,2015,116017827,183893324,4715,4715,4715,4715,9,721
Service - tug,7,1,2001,2001,2001,2001,1216600,811167,437,437,684,684,4,328
Liquefied gas tanker,11,2,2011,2008,2011,2011,30412555,30181930,670,714,562,563,10,750
