int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Pago Pago,157,58,2003,2002,2006,2008,5038210777,5302964787,1282,3893,2087,2436,1013,77854
Apia,185,43,2011,2006,2010,2012,2233531970,2472215896,510,1195,1580,2021,534,40933
