dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,2,2,1990,1990,1994,1995,4735736,7685901,355,355,335,333,1,58
Container,2,2,1990,1990,1984,1984,10784953,14205211,519,519,686,678,5,391
Ferry-RoPax,11,4,1970,1972,1973,1971,39965466,6326271,462,697,537,540,20,1558
Cruise,4,3,1980,1972,1977,1975,4693199,932657,97,214,358,316,2,150
Service - tug,2,2,1988,1988,1988,1988,1277941,1119233,2892,2892,2576,2696,4,290
General cargo,24,16,1987,1987,1987,1987,15503861,22486292,133,349,290,304,6,446
Oil tanker,1,1,2010,2010,2010,2010,532817,671381,107,107,107,107,1,44
Service - other,1,1,2003,2003,2003,2003,2469301,823536,654,654,654,654,1,38
Chemical tanker,2,2,1990,1990,1992,1992,2064561,3019177,356,356,346,345,3,232
Liquefied gas tanker,2,2,2006,2006,2007,2007,1912925,2226496,88,88,87,87,1,110
Miscellaneous - fishing,37,1,2007,2007,2007,2007,2515781,1867796,144,144,183,183,7,554
