int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Sarande,190,60,1992,1990,2001,1997,2017711080,464029133,389,1324,494,646,603,46345
Durres,369,144,1993,1996,1987,1999,5107768748,2507603721,494,1190,1048,886,1289,98760
Vlore,183,90,1987,1996,1992,2000,949682818,1021995085,376,859,744,764,301,23038
Himare,36,31,1990,1991,1997,1991,151367504,147337982,1013,1190,822,1116,45,3399
Shengjin,32,7,1996,1991,1992,1993,40065325,51608392,395,635,730,752,16,1171
