,imp_code_str3,imp_name,HS2,description,USD,tonne
0,012,Algeria,84, Nuclear reactors,7095380726.0,647876.139
1,012,Algeria,87, Pedestrian controlled tractors,4527897395.0,479699.19
2,012,Algeria,85, Electric motors of an output < 37.5 watts,3174746257.0,284633.71
3,012,Algeria,10, Durum wheat,2638948520.0,13453018.271
4,012,Algeria,27," Anthracite, not agglomerated",2591996225.0,4083860.855
5,012,Algeria,73, Sheet piling of iron or steel,1790679957.0,816781.705
6,012,Algeria,30," Glands and other organs, dried, for therapeutic uses",1707497393.0,17537.695
7,012,Algeria,39, Polyethylene - specific gravity <0.94 in primary form,1608712646.0,841697.0449999999
8,012,Algeria,72," Pig iron, non-alloy, <0.5% phosphorus",1381378035.0,2293382.176
9,012,Algeria,04, Milk not concentrated nor sweetened < 1% fat,1250220724.0,466375.48
10,012,Algeria,90," Optical fibres, except for telecommunications",927936542.0,19695.517
11,012,Algeria,15," Lard, other pig fat and poultry fat, rendered",742940551.0,1004449.1410000001
12,012,Algeria,17," Raw sugar, cane",708598626.0,2324921.341
13,012,Algeria,44, Fuel wood,664654475.0,1343009.747
14,012,Algeria,88," Gliders, hang gliders",643359039.0,128.951
15,012,Algeria,23," Flour or meal, pellet of meat or offal for animal fee",634089698.0,1502311.095
16,012,Algeria,48, Newsprint,611067155.0,593504.287
17,012,Algeria,76," Aluminium unwrought, not alloyed",531710860.0,133953.923
18,012,Algeria,94," Seats, aircraft",500848561.0,115319.802
19,012,Algeria,40," Natural rubber latex, including prevulcanised",491067595.0,174004.062
20,012,Algeria,29, Saturated acyclic hydrocarbons,447968657.0,149788.948
21,012,Algeria,38, Artificial graphite,421093015.0,281700.347
22,012,Algeria,61," Mens, boys overcoats, etc, of wool or hair, knit",393179436.0,61867.094
23,012,Algeria,62," Mens, boys overcoats of wool or hair, not knit",387299145.0,51015.103
24,012,Algeria,86," Rail locomotives, externally electrically powered",346407626.0,12410.841
25,012,Algeria,09," Coffee, not roasted, not decaffeinated",309046132.0,116309.35
26,012,Algeria,64," Waterproof footwear (Wellingtons etc), metal toe cap",301544904.0,43401.94
27,012,Algeria,69," Bricks, blocks and ceramic goods of siliceous earths",292662125.0,480854.586
28,012,Algeria,33, Essential oils of bergamot,269457441.0,33201.891
29,012,Algeria,32, Quebracho tanning extract,260629940.0,158848.175
30,012,Algeria,07," Potatoes seed, fresh or chilled",257386416.0,319373.48000000004
31,012,Algeria,83, Padlocks of base metal,241578103.0,59424.244
32,012,Algeria,70," Glass cullet, waste or scrap, glass in the mass",222641159.0,216560.664
33,012,Algeria,74, Copper mattes,213677956.0,28601.347999999998
34,012,Algeria,68," Stone setts, curbstones, flagstones (except slate)",213563924.0,200663.106
35,012,Algeria,54, Sewing thread of synthetic filaments,202191840.0,58429.66
36,012,Algeria,19," Infant foods of cereals, flour, starch or milk, retai",196718504.0,39438.934
37,012,Algeria,02," Bovine carcasses and half carcasses, fresh or chilled",186405206.0,51803.166
38,012,Algeria,21," Coffee extracts, essences, concentrates, preparations",185290490.0,56174.631
39,012,Algeria,34," Soaps, for toilet use, solid",182575823.0,115147.061
40,012,Algeria,82, Spades and shovels,166523808.0,22541.184
41,012,Algeria,01," Horses, live pure-bred breeding",163523052.0,41937.712
42,012,Algeria,55," Filament tow of nylon, polyamides",161848033.0,38388.208
43,012,Algeria,63, Electric blankets of textile material,156006218.0,35381.743
44,012,Algeria,28, Chlorine,153999902.0,535503.779
45,012,Algeria,89," Cruise ships, excursion boats, ferry boats",151040309.0,24439.279
46,012,Algeria,60," ""Long pile"" knit or crochet textile fabric",144331101.0,40308.392
47,012,Algeria,12, Soya beans,139710122.0,90976.614
48,012,Algeria,25," Salt (sodium chloride) including solution, salt water",127146523.0,1133798.704
49,012,Algeria,24," Tobacco, unmanufactured, not stemmed or stripped",122381669.0,17918.006
50,012,Algeria,08," Coconuts, fresh or dried",119923538.0,88669.879
