,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,768,Togo,024,Angola,27," Anthracite, not agglomerated",952245109.0,1038657.088,"Togo -  Anthracite, not agglomerated"
1,250,France,024,Angola,10, Durum wheat,150471044.0,578425.474,France -  Durum wheat
2,056,Belgium,024,Angola,27," Anthracite, not agglomerated",533163017.0,538847.8690000001,"Belgium -  Anthracite, not agglomerated"
3,764,Thailand,024,Angola,10, Durum wheat,236769054.0,408409.33599999995,Thailand -  Durum wheat
4,076,Brazil,024,Angola,17," Raw sugar, cane",115743174.0,319926.15400000004,"Brazil -  Raw sugar, cane"
5,840,USA,024,Angola,02," Bovine carcasses and half carcasses, fresh or chilled",244550783.0,263472.643,"USA -  Bovine carcasses and half carcasses, fresh or chilled"
6,792,TÃ¼rkiye,024,Angola,11, Wheat or meslin flour,74569584.0,230077.002,TÃ¼rkiye -  Wheat or meslin flour
7,792,TÃ¼rkiye,024,Angola,19," Infant foods of cereals, flour, starch or milk, retai",95974075.0,198594.496,"TÃ¼rkiye -  Infant foods of cereals, flour, starch or milk, retai"
8,410,Rep. of Korea,024,Angola,27," Anthracite, not agglomerated",168149829.0,186598.407,"Rep. of Korea -  Anthracite, not agglomerated"
9,710,South Africa,024,Angola,27," Anthracite, not agglomerated",43652707.0,167507.857,"South Africa -  Anthracite, not agglomerated"
10,702,Singapore,024,Angola,27," Anthracite, not agglomerated",72714342.0,161539.62999999998,"Singapore -  Anthracite, not agglomerated"
11,826,United Kingdom,024,Angola,27," Anthracite, not agglomerated",188693559.0,144493.395,"United Kingdom -  Anthracite, not agglomerated"
12,360,Indonesia,024,Angola,15," Lard, other pig fat and poultry fat, rendered",75701214.0,140205.46800000002,"Indonesia -  Lard, other pig fat and poultry fat, rendered"
13,156,China,024,Angola,72," Pig iron, non-alloy, <0.5% phosphorus",150821514.0,137316.622,"China -  Pig iron, non-alloy, <0.5% phosphorus"
14,076,Brazil,024,Angola,02," Bovine carcasses and half carcasses, fresh or chilled",156814630.0,134927.234,"Brazil -  Bovine carcasses and half carcasses, fresh or chilled"
15,458,Malaysia,024,Angola,27," Anthracite, not agglomerated",48310902.0,127180.79400000001,"Malaysia -  Anthracite, not agglomerated"
16,620,Portugal,024,Angola,25," Salt (sodium chloride) including solution, salt water",9091512.0,113450.589,"Portugal -  Salt (sodium chloride) including solution, salt water"
17,076,Brazil,024,Angola,11, Wheat or meslin flour,29882476.0,100347.056,Brazil -  Wheat or meslin flour
18,528,Netherlands,024,Angola,27," Anthracite, not agglomerated",91056897.0,98724.535,"Netherlands -  Anthracite, not agglomerated"
19,840,USA,024,Angola,27," Anthracite, not agglomerated",76127832.0,93685.459,"USA -  Anthracite, not agglomerated"
20,458,Malaysia,024,Angola,15," Lard, other pig fat and poultry fat, rendered",92751314.0,80729.87400000001,"Malaysia -  Lard, other pig fat and poultry fat, rendered"
21,156,China,024,Angola,73, Sheet piling of iron or steel,135545864.0,75531.058,China -  Sheet piling of iron or steel
22,356,India,024,Angola,39, Polyethylene - specific gravity <0.94 in primary form,38446462.0,73286.175,India -  Polyethylene - specific gravity <0.94 in primary form
23,156,China,024,Angola,84, Nuclear reactors,374887050.0,72012.017,China -  Nuclear reactors
24,156,China,024,Angola,39, Polyethylene - specific gravity <0.94 in primary form,98454910.0,68740.126,China -  Polyethylene - specific gravity <0.94 in primary form
25,710,South Africa,024,Angola,11, Wheat or meslin flour,45212794.0,68050.12,South Africa -  Wheat or meslin flour
26,620,Portugal,024,Angola,15," Lard, other pig fat and poultry fat, rendered",102730721.0,64947.191,"Portugal -  Lard, other pig fat and poultry fat, rendered"
27,156,China,024,Angola,85, Electric motors of an output < 37.5 watts,398337838.0,62161.547,China -  Electric motors of an output < 37.5 watts
28,056,Belgium,024,Angola,11, Wheat or meslin flour,39963722.0,60669.043,Belgium -  Wheat or meslin flour
29,156,China,024,Angola,69," Bricks, blocks and ceramic goods of siliceous earths",46908961.0,60581.722,"China -  Bricks, blocks and ceramic goods of siliceous earths"
30,620,Portugal,024,Angola,11, Wheat or meslin flour,28305990.0,58800.295000000006,Portugal -  Wheat or meslin flour
31,356,India,024,Angola,25," Salt (sodium chloride) including solution, salt water",3282691.0,56977.787,"India -  Salt (sodium chloride) including solution, salt water"
32,784,United Arab Emirates,024,Angola,25," Salt (sodium chloride) including solution, salt water",4127052.0,53400.819,"United Arab Emirates -  Salt (sodium chloride) including solution, salt water"
33,643,Russian Federation,024,Angola,10, Durum wheat,9909066.0,50856.517,Russian Federation -  Durum wheat
34,156,China,024,Angola,64," Waterproof footwear (Wellingtons etc), metal toe cap",86864792.0,46458.114,"China -  Waterproof footwear (Wellingtons etc), metal toe cap"
35,620,Portugal,024,Angola,68," Stone setts, curbstones, flagstones (except slate)",16651115.0,44960.075000000004,"Portugal -  Stone setts, curbstones, flagstones (except slate)"
36,156,China,024,Angola,40," Natural rubber latex, including prevulcanised",65528381.0,44714.339,"China -  Natural rubber latex, including prevulcanised"
37,124,Canada,024,Angola,07," Potatoes seed, fresh or chilled",45847767.0,43660.799999999996,"Canada -  Potatoes seed, fresh or chilled"
38,620,Portugal,024,Angola,22, Mineral and aerated waters not sweetened or flavoured,61410263.0,42208.708,Portugal -  Mineral and aerated waters not sweetened or flavoured
39,490,"Other Asia, nes",024,Angola,27," Anthracite, not agglomerated",24696516.0,41851.0,"Other Asia, nes -  Anthracite, not agglomerated"
40,620,Portugal,024,Angola,04, Milk not concentrated nor sweetened < 1% fat,71871055.0,41153.72900000001,Portugal -  Milk not concentrated nor sweetened < 1% fat
41,156,China,024,Angola,34," Soaps, for toilet use, solid",37459530.0,39635.936,"China -  Soaps, for toilet use, solid"
42,156,China,024,Angola,63, Electric blankets of textile material,63895147.0,38806.710999999996,China -  Electric blankets of textile material
43,076,Brazil,024,Angola,16," Sausages, similar products of meat, meat offal & bloo",33796483.0,38029.539000000004,"Brazil -  Sausages, similar products of meat, meat offal & bloo"
44,710,South Africa,024,Angola,34," Soaps, for toilet use, solid",36084094.0,36584.421,"South Africa -  Soaps, for toilet use, solid"
45,784,United Arab Emirates,024,Angola,27," Anthracite, not agglomerated",41156562.0,36085.51500000001,"United Arab Emirates -  Anthracite, not agglomerated"
46,478,Mauritania,024,Angola,03," Ornamental fish, live",77573029.0,35422.458999999995,"Mauritania -  Ornamental fish, live"
47,356,India,024,Angola,48, Newsprint,8977445.0,35166.671,India -  Newsprint
48,710,South Africa,024,Angola,22, Mineral and aerated waters not sweetened or flavoured,33382511.0,33695.024,South Africa -  Mineral and aerated waters not sweetened or flavoured
49,620,Portugal,024,Angola,48, Newsprint,64734760.0,33654.071,Portugal -  Newsprint
50,156,China,024,Angola,94," Seats, aircraft",77671558.0,32281.542,"China -  Seats, aircraft"
51,156,China,024,Angola,31," Animal or vegetable fertilizers, in packs >10 kg",11155844.0,32201.988,"China -  Animal or vegetable fertilizers, in packs >10 kg"
