,imp_code_str3,imp_name,HS2,description,USD,tonne
76,031,Azerbaijan,91," Wrist-watch, precious metal, battery, with hands",16543924.0,423.678
77,031,Azerbaijan,93," Military weapons, other than hand guns, swords, etc",3849693.0,415.04200000000003
78,031,Azerbaijan,41," Bovine skins, whole, raw",1930461.0,404.85699999999997
79,031,Azerbaijan,66, Garden and similar umbrellas,913762.0,363.736
80,031,Azerbaijan,67," Bird skins and feathers, articles therefrom",1280410.0,344.82300000000004
81,031,Azerbaijan,51," Greasy shorn wool, not carded or combed",1049156.0,301.279
82,031,Azerbaijan,47, Mechanical wood pulp,292172.0,290.295
83,031,Azerbaijan,71," Pearls natural, not permanently mounted or set",1747248981.0,197.739
84,031,Azerbaijan,81," Powders, tungsten (wolfram)",760059.0,162.346
85,031,Azerbaijan,05," Hair, human, unworked, waste of human hair",591241.0,143.062
86,031,Azerbaijan,92," Upright pianos, including auto-players",2645759.0,112.085
87,031,Azerbaijan,78, Lead refined unwrought,373847.0,96.033
88,031,Azerbaijan,45," Natural cork, raw or simply prepared",1356197.0,89.266
89,031,Azerbaijan,46, Plaits and products of plaiting materials,290838.0,87.425
90,031,Azerbaijan,75, Nickel mattes,3436964.0,67.528
91,031,Azerbaijan,43," Raw mink furskins, whole",2558210.0,66.05799999999999
92,031,Azerbaijan,13, Lac,525653.0,56.374
93,031,Azerbaijan,50, Silk-worm cocoons suitable for reeling,518238.0,5.7540000000000004
94,031,Azerbaijan,80, Tin not alloyed unwrought,185838.0,2.24
