,imp_code_str3,imp_name,HS2,description,USD,tonne
0,004,Afghanistan,87, Pedestrian controlled tractors,1204201300.0,231177.658
1,004,Afghanistan,27," Anthracite, not agglomerated",1193066380.0,2079809.1520000002
2,004,Afghanistan,85, Electric motors of an output < 37.5 watts,789271363.0,59777.521
3,004,Afghanistan,11, Wheat or meslin flour,487417370.0,2292827.285
4,004,Afghanistan,84, Nuclear reactors,419565138.0,81139.41500000001
5,004,Afghanistan,24," Tobacco, unmanufactured, not stemmed or stripped",416768535.0,28100.994000000002
6,004,Afghanistan,72," Pig iron, non-alloy, <0.5% phosphorus",415834768.0,799569.1529999999
7,004,Afghanistan,88," Gliders, hang gliders",402160410.0,817.747
8,004,Afghanistan,39, Polyethylene - specific gravity <0.94 in primary form,344431341.0,185693.935
9,004,Afghanistan,08," Coconuts, fresh or dried",294519221.0,480983.602
10,004,Afghanistan,17," Raw sugar, cane",287194116.0,684379.355
11,004,Afghanistan,15," Lard, other pig fat and poultry fat, rendered",269131017.0,292137.268
12,004,Afghanistan,30," Glands and other organs, dried, for therapeutic uses",251811114.0,18628.228
13,004,Afghanistan,07," Potatoes seed, fresh or chilled",240390330.0,688584.8300000001
14,004,Afghanistan,10, Durum wheat,239235196.0,858299.597
15,004,Afghanistan,04, Milk not concentrated nor sweetened < 1% fat,203850912.0,127634.248
16,004,Afghanistan,73, Sheet piling of iron or steel,177012212.0,138291.583
17,004,Afghanistan,40," Natural rubber latex, including prevulcanised",171506582.0,62841.740999999995
18,004,Afghanistan,90," Optical fibres, except for telecommunications",170915118.0,5438.155
19,004,Afghanistan,19," Infant foods of cereals, flour, starch or milk, retai",165833721.0,111867.134
20,004,Afghanistan,93," Military weapons, other than hand guns, swords, etc",163276282.0,4923.434
21,004,Afghanistan,20," Cucumbers,gherkins, prepared or preserved by vinegar",158440345.0,102216.533
22,004,Afghanistan,62," Mens, boys overcoats of wool or hair, not knit",142480846.0,7988.027
23,004,Afghanistan,25," Salt (sodium chloride) including solution, salt water",134970606.0,3414048.573
24,004,Afghanistan,57," Carpets of wool or fine animal hair, knotted",129832889.0,32580.691000000003
25,004,Afghanistan,29, Saturated acyclic hydrocarbons,102207695.0,156683.997
26,004,Afghanistan,54, Sewing thread of synthetic filaments,99615193.0,18097.484
27,004,Afghanistan,44, Fuel wood,93588140.0,266405.46400000004
28,004,Afghanistan,61," Mens, boys overcoats, etc, of wool or hair, knit",92639305.0,6257.983
29,004,Afghanistan,76," Aluminium unwrought, not alloyed",87186021.0,20984.698
30,004,Afghanistan,55," Filament tow of nylon, polyamides",85014079.0,17036.4
31,004,Afghanistan,09," Coffee, not roasted, not decaffeinated",78348591.0,17811.816
32,004,Afghanistan,64," Waterproof footwear (Wellingtons etc), metal toe cap",77319556.0,7954.637000000001
33,004,Afghanistan,63, Electric blankets of textile material,77069288.0,27242.154
34,004,Afghanistan,34," Soaps, for toilet use, solid",74968403.0,81654.412
35,004,Afghanistan,02," Bovine carcasses and half carcasses, fresh or chilled",74284650.0,55796.612
